"song_name","song_popularity","song_duration_ms","acousticness","danceability","energy","instrumentalness","key","liveness","loudness","audio_mode","speechiness","tempo","time_signature","audio_valence","artist_name","album_names","playlist","image"
"Down With the Sickness","73","279213","0.0009960000000000001","0.695","0.8759999999999999","6.89e-06","3","0.106","-4.262","0","0.0553","89.954","4","0.941","Disturbed","The Sickness","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/thumb/6/60/Disturbed_down_with_the_sickness.png/220px-Disturbed_down_with_the_sickness.png"
"Wish You Were Here","62","212733","0.0006309999999999999","0.24600000000000002","0.768","0.301","9","0.102","-7.48","1","0.0387","169.873","4","0.35","Incubus","Morning View","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/9/98/Incubus_wish_you_were_here.png"
"Youth Of The Nation","72","256240","0.00834","0.563","0.86","0.0106","8","0.39","-7.5329999999999995","1","0.0621","97.867","4","0.517","P.O.D.","Satellite (U.S. Version WEA Distribution)","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/1/14/Pod_youth_of_the_nation.png"
"Vertigo","57","194520","0.000153","0.391","0.831","0.0019199999999999998","2","0.141","-3.892","1","0.0613","139.946","4","0.6829999999999999","U2","How To Dismantle An Atomic Bomb","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/thumb/2/20/U2_Vertigo.png/220px-U2_Vertigo.png"
"Miss Murder","71","206586","0.000213","0.309","0.875","0.00168","1","0.113","-4.49","1","0.0488","143.526","4","0.725","AFI","DECEMBERUNDERGROUND","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/thumb/e/e3/AFI_-_Miss_Murder_cover.jpg/220px-AFI_-_Miss_Murder_cover.jpg"
"I Bet You Look Good On The Dancefloor","63","173680","0.00225","0.535","0.948","0.0","6","0.376","-4.19","0","0.0356","103.18299999999999","4","0.778","Arctic Monkeys","Whatever People Say I Am, That's What I'm Not","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/thumb/5/5e/I_Bet_You_Look_Good_On_the_Dancefloor.jpg/220px-I_Bet_You_Look_Good_On_the_Dancefloor.jpg"
"Steady, As She Goes","64","215266","0.0132","0.524","0.578","0.00921","9","0.10800000000000001","-4.563","1","0.12","123.669","4","0.537","The Raconteurs","Broken Boy Soldiers","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/thumb/c/c1/SteadyAsSheGoes_StoreBoughtBones.jpg/220px-SteadyAsSheGoes_StoreBoughtBones.jpg"
"Falling Away from Me","71","270920","0.00014","0.46799999999999997","0.769","0.00124","4","0.271","-7.0360000000000005","1","0.040999999999999995","104.102","4","0.17","Korn","Issues","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/a/a7/Korn_fafm.jpg"
"I Stand Alone","67","246040","4.7799999999999996e-05","0.213","0.93","0.0","0","0.126","-4.478","1","0.0671","169.22099999999998","4","0.386","Godsmack","Faceless","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/thumb/a/a6/GodsmackIStandAloneCover.jpg/220px-GodsmackIStandAloneCover.jpg"
"Woman","63","176306","5.1e-05","0.21899999999999997","0.9520000000000001","0.0989","2","0.157","-3.6210000000000004","1","0.17600000000000002","112.88600000000001","1","0.172","Wolfmother","Wolfmother","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/thumb/8/8a/Wolfmother_-_%22Woman%22.jpg/220px-Wolfmother_-_%22Woman%22.jpg"
"Show Me How to Live","72","277840","0.000336","0.433","0.8540000000000001","0.000177","9","0.162","-3.8680000000000003","1","0.0483","89.4","4","0.368","Audioslave","Audioslave","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/thumb/f/fd/Showmehowtolive.JPG/220px-Showmehowtolive.JPG"
"The Red","71","238400","0.000671","0.509","0.843","0.0008029999999999999","1","0.348","-3.318","0","0.0488","140.055","3","0.332","Chevelle","Wonder What's Next","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/e/e6/Chevelle_the_red.png"
"Remedy","70","207213","0.00018","0.546","0.9590000000000001","0.00144","8","0.0584","-4.664","1","0.08199999999999999","127.831","4","0.41600000000000004","Seether","Karma and Effect","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/thumb/5/5e/SeetherRemedy.jpg/220px-SeetherRemedy.jpg"
"Plug In Baby","65","218000","6.94e-06","0.408","0.965","0.00040199999999999996","2","0.11","-4.232","1","0.05","136.018","4","0.349","Muse","Origin Of Symmetry","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/thumb/4/4e/Muse_pluginbaby.jpg/220px-Muse_pluginbaby.jpg"
"Judith","66","247266","3.32e-05","0.365","0.894","0.171","11","0.267","-4.6819999999999995","0","0.0572","82.305","3","0.31","A Perfect Circle","Mer De Noms","00s Rock Anthems","undefined"
"Celoso","87","179693","0.35200000000000004","0.746","0.703","0.0","4","0.331","-4.178999999999999","0","0.107","166.043","4","0.667","Lele Pons","Celoso","100% LatinX","//upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Lele_Pons_2019_by_Glenn_Francis.jpg/200px-Lele_Pons_2019_by_Glenn_Francis.jpg"
"Good Vibes","73","235720","0.0348","0.823","0.63","6.72e-06","7","0.0964","-3.932","1","0.0797","100.04","4","0.184","Fuego","Good Vibes","100% LatinX","undefined"
"Real Friends","85","223583","0.235","0.701","0.512","5.07e-06","0","0.135","-6.869","0","0.0969","91.947","4","0.6629999999999999","Camila Cabello","Real Friends","100% LatinX","//upload.wikimedia.org/wikipedia/en/thumb/c/c1/Real_Friends_official_artwork.png/220px-Real_Friends_official_artwork.png"
"Wake Up in the Sky","92","204664","0.00381","0.8","0.578","0.0","4","0.359","-5.144","0","0.0485","143.01","4","0.36700000000000005","Gucci Mane","Wake Up in the Sky","100% LatinX","//upload.wikimedia.org/wikipedia/en/thumb/3/34/Gucci_Mane%2C_Bruno_Mars_and_Kodak_Black_-_Wake_Up_in_the_Sky.jpeg/220px-Gucci_Mane%2C_Bruno_Mars_and_Kodak_Black_-_Wake_Up_in_the_Sky.jpeg"
"Come With Me","47","157461","0.0526","0.659","0.7340000000000001","2.48e-06","10","0.242","-4.008","1","0.046","161.971","4","0.34600000000000003","Kap G","no kap","100% LatinX","undefined"
"Blah","47","188440","0.0255","0.723","0.687","0.000207","11","0.124","-4.632","0","0.2","173.747","4","0.777","Mariah","Blah","100% LatinX","undefined"
"Sola","65","209573","0.9209999999999999","0.47100000000000003","0.179","0.0","9","0.10099999999999999","-10.273","1","0.08900000000000001","174.273","4","0.19399999999999998","Jessie Reyez","Sola","100% LatinX","//upload.wikimedia.org/wikipedia/commons/thumb/d/da/Beach_of_Sola.JPG/250px-Beach_of_Sola.JPG"
"Lento","65","169251","0.149","0.8370000000000001","0.649","7.63e-05","11","0.10300000000000001","-5.26","0","0.192","164.002","4","0.948","Rudy Mancuso","Lento","100% LatinX","undefined"
"Dicen","77","220826","0.13699999999999998","0.8170000000000001","0.635","7.85e-06","5","0.245","-5.718999999999999","0","0.138","103.029","4","0.777","Matt Hunter","Dicen","100% LatinX","//upload.wikimedia.org/wikipedia/commons/thumb/7/72/Cristian_castro_vivo_2.jpg/220px-Cristian_castro_vivo_2.jpg"
"I Like It","95","253390","0.099","0.816","0.726","0.0","5","0.37200000000000005","-3.998","0","0.129","136.048","4","0.65","Cardi B","Invasion of Privacy","100% LatinX","//upload.wikimedia.org/wikipedia/en/thumb/8/82/Cardi_B%2C_Bad_Bunny_and_J_Balvin_-_I_Like_It_%28Single_Cover%29.png/220px-Cardi_B%2C_Bad_Bunny_and_J_Balvin_-_I_Like_It_%28Single_Cover%29.png"
"Pum Pum","45","185743","0.0749","0.736","0.9059999999999999","0.000123","4","0.12","-1.49","0","0.0566","93.01299999999999","4","0.611","Sammi Sanchez","Pum Pum","100% LatinX","undefined"
"Quiero Saber","52","166253","0.00245","0.695","0.818","3.36e-06","6","0.305","-5.532","0","0.0482","102.976","4","0.599","Jesse Baez","Quiero Saber","100% LatinX","//upload.wikimedia.org/wikipedia/en/thumb/1/17/Ivy_Queen_Diva.jpg/220px-Ivy_Queen_Diva.jpg"
"Como","38","234373","0.00323","0.5429999999999999","0.847","0.0","9","0.0551","-3.574","1","0.0659","92.046","4","0.65","Kim Viera","Como","100% LatinX","//upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Como_and_it%27s_lake.jpg/250px-Como_and_it%27s_lake.jpg"
